location_id,borough,borough_id,latitude,longitude,listing_id
5053,South Slope,2,40.66077,-73.98365,51538601
5054,Rockaway Beach,4,40.58493,-73.81736,49386840
5055,Crown Heights,2,40.66441,-73.92907,49258287
5056,Harlem,3,40.80323,-73.94595,37971614
5057,Canarsie,2,40.64064,-73.89364,49250263
5058,Richmond Hill,4,40.6937,-73.82572,49487853
5059,Woodside,4,40.75491511,-73.90723867,3156969
5060,Harlem,3,40.8174733,-73.9441909,51653479
5061,Crown Heights,2,40.66422804,-73.93151006,7576910
5062,East New York,2,40.67297,-73.87673,40040224
5063,Prospect-Lefferts Gardens,2,40.65611,-73.95952,70571391
5064,4 Village,4,40.70434378,-73.73108694,88613246
5065,East Elmhurst,4,40.76363,-73.88042,84727557
5066,Washington Heights,3,40.85478,-73.93879,84007336
5067,Kew Gardens Hills,4,40.72807,-73.82073,22173625
5068,Williamsburg,2,40.71831,-73.96143,6766908
5069,East Elmhurst,4,40.76298,-73.86181,84230357
5070,Concourse,1,40.83084,-73.92115,70496093
5071,Arverne,4,40.58812,-73.795448,52648068
5072,City Island,1,40.83793,-73.78328,33664484
5073,Richmond Hill,4,40.68358,-73.83081,51702923
5074,Greenpoint,2,40.72697,-73.93996,51205263
5075,Sheepshead Bay,2,40.5847,-73.94088,34142214
5076,Crown Heights,2,40.66596,-73.93561,34670672
5077,Canarsie,2,40.63638,-73.90926,19867930
5078,East New York,2,40.66942,-73.87604,31854564
5079,East New York,2,40.67502653,-73.88444685,2127016
5080,Crown Heights,2,40.67654,-73.95138,206957
5081,Canarsie,2,40.6289532,-73.8918208,56290781
5082,Williamsburg,2,40.70822787,-73.96747266,48982617
5083,Sheepshead Bay,2,40.61021,-73.9583,36660274
5084,Richmond Hill,4,40.693348,-73.824554,52405277
5085,Far Rockaway,4,40.59339832,-73.75765738,6969011
5086,Richmond Hill,4,40.70376013,-73.82799211,67715231
5087,Rosedale,4,40.65577,-73.73272,59708794
5088,Jamaica,4,40.66985,-73.7766,15529937
5089,Williamsburg,2,40.71468,-73.96263,2909117
5090,Theater District,3,40.759125,-73.983765,66988161
5091,Theater District,3,40.759125,-73.983765,82564431
5092,East Elmhurst,4,40.7648,-73.88255,56468282
5093,South Ozone Park,4,40.67182922,-73.7922287,8426915
5094,Rockaway Beach,4,40.5878721,-73.8157266,58483340
5095,Brighton Beach,2,40.57916,-73.95424,58536849
5096,Prospect Heights,2,40.67216941,-73.96379247,58537181
5097,East Elmhurst,4,40.76258,-73.8685,4808505
5098,Harlem,3,40.82908,-73.94687,21280552
5099,Far Rockaway,4,40.60527,-73.74962,79557532
5100,Jamaica,4,40.68204,-73.76798,24016962
5101,Stapleton,5,40.63359,-74.07745,67098930
5102,Rosedale,4,40.65354,-73.74365,59797005
5103,Eastchester,1,40.8784,-73.84057,22683699
5104,Rosedale,4,40.66442072,-73.74472272,39280356
5105,Parkchester,1,40.83806,-73.86827,76834439
5106,Mott Haven,1,40.81096515,-73.92919277,54715012
5107,Springfield Gardens,4,40.66414211,-73.74888821,53869676
5108,East Elmhurst,4,40.7684619,-73.8775476,65511904
5109,Bedford-Stuyvesant,2,40.68958,-73.95764,76378773
5110,East New York,2,40.66821,-73.89567,50073875
5111,Long Island City,4,40.74719,-73.95516,97680472
5112,Sunnyside,4,40.73691815,-73.9260267,81591451
5113,Harlem,3,40.82348,-73.95374,65068258
5114,Harlem,3,40.80720964,-73.95430744,10124827
5115,Harlem,3,40.82164,-73.94586,32575757
5116,Canarsie,2,40.63883,-73.91748,35957018
5117,East Elmhurst,4,40.76497,-73.87514,22109870
5118,Washington Heights,3,40.83338,-73.94326,1215122
5119,Bay Ridge,2,40.63345572,-74.02290085,87116937
5120,Richmond Hill,4,40.67991,-73.8253,57841982
5121,Windsor Terrace,2,40.65978,-73.97901,3829261
5122,Jamaica,4,40.70646,-73.80093,61342980
5123,Harlem,3,40.81856,-73.94238,90154581
5124,Windsor Terrace,2,40.65828,-73.97904,195123
5125,Jamaica,4,40.69515,-73.79574,9097241
5126,East New York,2,40.67509,-73.87374,49051926
5127,East New York,2,40.66728,-73.89013,53340147
5128,Mott Haven,1,40.80991,-73.91211,70462852
5129,Greenpoint,2,40.72178,-73.94374,3530122
5130,Williamsbridge,1,40.88526,-73.8607,53340131
5131,Williamsburg,2,40.71792,-73.95429,52421251
5132,Ditmars Steinway,4,40.77728,-73.90633,75083563
5133,Bay Ridge,2,40.62009,-74.02353,18625919
5134,Jamaica,4,40.68379565,-73.7665239,41023393
5135,Gowanus,2,40.6707477,-73.9919214,53456722
5136,Ozone Park,4,40.67589,-73.85781,49839739
5137,Clinton Hill,2,40.6946,-73.96772,53573869
5138,Claremont Village,1,40.84353,-73.90542,58213728
5139,Ozone Park,4,40.67433,-73.85498,53383517
5140,Downtown 2,2,40.699,-73.9874,72521185
5141,Jamaica,4,40.69074,-73.80449,10342355
5142,Springfield Gardens,4,40.66653,-73.78288,18077042
5143,Ozone Park,4,40.6737,-73.85304,53625595
5144,Bayswater,4,40.59878,-73.76753,38799098
5145,Theater District,3,40.75874912,-73.98666144,99370195
5146,South Ozone Park,4,40.6769323,-73.8048356,53811159
5147,Harlem,3,40.80149,-73.95252,45425730
5148,Rosedale,4,40.65955,-73.73967,53673650
5149,Jamaica,4,40.67862,-73.79618,89617897
5150,Tompkinsville,5,40.63226,-74.07981,53758301
5151,Kensington,2,40.64458,-73.97574,86687320
5152,Harlem,3,40.82242,-73.93831,86685923
5153,Sunnyside,4,40.73352,-73.92052,53881631
5154,Ridgewood,4,40.69795,-73.89835,43495869
5155,Maspeth,4,40.73682,-73.89669,53634502
5156,Sunnyside,4,40.74424,-73.915899,16883129
5157,Washington Heights,3,40.85326,-73.93089,26043335
5158,Far Rockaway,4,40.59462085,-73.75927641,53409435
5159,Ditmars Steinway,4,40.77484,-73.9169,62972870
5160,Harlem,3,40.81897,-73.94004,64277858
5161,Williamsburg,2,40.70918057,-73.94012843,57411190
5162,Concourse,1,40.8205,-73.9273,10034388
5163,Wakefield,1,40.88332,-73.85018,59515524
5164,Harlem,3,40.81111,-73.95187,87850483
5165,East New York,2,40.66933027,-73.87737102,52692555
5166,Theater District,3,40.76072204,-73.98511045,30465758
5167,Theater District,3,40.76064704,-73.9866207,96945094
5168,Harlem,3,40.81556,-73.936,75654053
5169,Theater District,3,40.75863,-73.9871,45399393
5170,Fort Greene,2,40.68402,-73.97276,54066353
5171,Theater District,3,40.75888139,-73.98677431,86988130
5172,Rosedale,4,40.65731,-73.72959,86688032
5173,Theater District,3,40.7585755,-73.98589209,86688519
5174,Williamsburg,2,40.71262,-73.94988,42690493
5175,Ditmars Steinway,4,40.77054,-73.90586,86690725
5176,Ditmars Steinway,4,40.77539,-73.91709,71557923
5177,Clinton Hill,2,40.68167,-73.95894,86691557
5178,Columbia St,2,40.68888,-73.99935,38522224
